f0,f1,f2,s0,s1,s2
800,780,792,0,0,0
780,792,820,0,0,0
792,820,804,0,0,0
820,804,828,0,0,0
804,828,916,0,0,0
828,916,960,0,0,0
916,960,956,0,0,0
960,956,928,0,0,0
956,928,836,0,0,0
928,836,792,0,0,0
836,792,776,0,0,0
792,776,736,0,0,0
776,736,724,0,0,0
736,724,728,0,0,0
724,728,760,0,0,0
728,760,804,0,0,0
760,804,848,0,0,0
804,848,856,0,0,0
848,856,848,0,0,0
856,848,816,0,0,0
848,816,784,0,0,0
816,784,768,0,0,0
784,768,736,0,0,0
768,736,740,0,0,0
736,740,756,0,0,0
740,756,440,0,0,0
756,440,316,0,0,0
440,316,748,0,0,0
316,748,768,0,0,0
748,768,748,0,0,0
768,748,740,0,0,0
748,740,756,0,0,0
740,756,772,0,0,0
756,772,780,0,0,0
772,780,752,0,0,0
780,752,752,0,0,0
752,752,764,0,0,0
752,764,764,0,0,0
764,764,756,0,0,0
764,756,752,0,0,0
756,752,720,0,0,0
752,720,716,0,0,0
720,716,720,0,0,0
716,720,728,0,0,0
720,728,720,0,0,0
728,720,748,0,0,0
720,748,764,0,0,0
748,764,792,0,0,0
764,792,848,0,0,0
792,848,864,0,0,0
848,864,856,0,0,0
864,856,832,0,0,0
856,832,796,0,0,0
832,796,756,0,0,0
796,756,728,0,0,0
756,728,732,0,0,0
728,732,728,0,0,0
732,728,724,0,0,0
728,724,720,0,0,0
724,720,704,0,0,0
720,704,696,0,0,0
704,696,696,0,0,0
696,696,672,0,0,0
696,672,664,0,0,0
672,664,668,0,0,0
664,668,680,0,0,0
668,680,700,0,0,0
680,700,720,0,0,0
700,720,748,0,0,0
720,748,748,0,0,0
748,748,764,0,0,0
748,764,776,0,0,0
764,776,716,0,0,0
776,716,340,0,0,0
716,340,352,0,0,0
340,352,684,0,0,0
352,684,672,0,0,0
684,672,696,0,0,0
672,696,712,0,0,0
696,712,796,0,0,0
712,796,228,0,0,0
796,228,204,0,0,0
228,204,324,0,0,0
204,324,444,0,0,0
324,444,1332,0,0,0
444,1332,972,0,0,0
1332,972,180,0,0,0
972,180,1444,0,0,0
180,1444,348,0,0,0
1444,348,472,0,0,0
348,472,828,0,0,0
472,828,632,0,0,0
828,632,368,0,0,0
632,368,256,0,0,0
368,256,364,0,0,0
