y,f0,f1,f2
0,747.627807486631,747.627807486631,800
0,747.627807486631,800.0,780
0,800.0,780.0,792
0,780.0,792.0,820
0,792.0,820.0,804
0,820.0,804.0,828
0,804.0,828.0,916
0,828.0,916.0,960
0,916.0,960.0,956
0,960.0,956.0,928
0,956.0,928.0,836
0,928.0,836.0,792
0,836.0,792.0,776
0,792.0,776.0,736
0,776.0,736.0,724
0,736.0,724.0,728
0,724.0,728.0,760
0,728.0,760.0,804
0,760.0,804.0,848
0,804.0,848.0,856
0,848.0,856.0,848
0,856.0,848.0,816
0,848.0,816.0,784
0,816.0,784.0,768
0,784.0,768.0,736
0,768.0,736.0,740
0,736.0,740.0,756
0,740.0,756.0,440
0,756.0,440.0,316
0,440.0,316.0,748
0,316.0,748.0,768
0,748.0,768.0,748
0,768.0,748.0,740
0,748.0,740.0,756
0,740.0,756.0,772
0,756.0,772.0,780
0,772.0,780.0,752
0,780.0,752.0,752
0,752.0,752.0,764
0,752.0,764.0,764
0,764.0,764.0,756
0,764.0,756.0,752
0,756.0,752.0,720
0,752.0,720.0,716
0,720.0,716.0,720
0,716.0,720.0,728
0,720.0,728.0,720
0,728.0,720.0,748
0,720.0,748.0,764
0,748.0,764.0,792
0,764.0,792.0,848
0,792.0,848.0,864
0,848.0,864.0,856
0,864.0,856.0,832
0,856.0,832.0,796
0,832.0,796.0,756
0,796.0,756.0,728
0,756.0,728.0,732
0,728.0,732.0,728
0,732.0,728.0,724
0,728.0,724.0,720
0,724.0,720.0,704
0,720.0,704.0,696
0,704.0,696.0,696
0,696.0,696.0,672
0,696.0,672.0,664
0,672.0,664.0,668
0,664.0,668.0,680
0,668.0,680.0,700
0,680.0,700.0,720
0,700.0,720.0,748
0,720.0,748.0,748
0,748.0,748.0,764
0,748.0,764.0,776
0,764.0,776.0,716
0,776.0,716.0,340
0,716.0,340.0,352
0,340.0,352.0,684
0,352.0,684.0,672
0,684.0,672.0,696
0,672.0,696.0,712
0,696.0,712.0,796
0,712.0,796.0,228
0,796.0,228.0,204
0,228.0,204.0,324
0,204.0,324.0,444
0,324.0,444.0,1332
0,444.0,1332.0,972
0,1332.0,972.0,180
0,972.0,180.0,1444
0,180.0,1444.0,348
0,1444.0,348.0,472
0,348.0,472.0,828
0,472.0,828.0,632
0,828.0,632.0,368
0,632.0,368.0,256
0,368.0,256.0,364
0,256.0,364.0,796
0,364.0,796.0,836
0,796.0,836.0,1732
0,836.0,1732.0,888
0,1732.0,888.0,836
0,888.0,836.0,856
0,836.0,856.0,844
0,856.0,844.0,828
0,844.0,828.0,820
0,828.0,820.0,820
0,820.0,820.0,820
0,820.0,820.0,848
0,820.0,848.0,868
0,848.0,868.0,684
0,868.0,684.0,820
0,684.0,820.0,820
0,820.0,820.0,824
0,820.0,824.0,696
0,824.0,696.0,128
0,696.0,128.0,792
0,128.0,792.0,800
0,792.0,800.0,788
0,800.0,788.0,776
0,788.0,776.0,796
0,776.0,796.0,848
0,796.0,848.0,820
0,848.0,820.0,848
0,820.0,848.0,868
0,848.0,868.0,884
0,868.0,884.0,856
0,884.0,856.0,888
0,856.0,888.0,904
0,888.0,904.0,884
0,904.0,884.0,868
0,884.0,868.0,876
0,868.0,876.0,880
0,876.0,880.0,856
0,880.0,856.0,872
0,856.0,872.0,896
0,872.0,896.0,900
0,896.0,900.0,868
0,900.0,868.0,844
0,868.0,844.0,852
