229
seria 1: 1870, min: 0, max: 1397264
1, s, 276200
1, e, 281504
1, s, 593188
1, e, 598824
seria 2: 226, min: 0, max: 175044
2, s, 35212
2, e, 40852
2, s, 66668
2, e, 72396
2, s, 117272
2, e, 122928
2, s, 132244
2, e, 138020
2, s, 166308
2, e, 171960
seria 3: 105, min: 0, max: 81948
seria 4: 135, min: 0, max: 105488
4, s, 3776
4, e, 9464
4, s, 10784
4, e, 16492
4, s, 38856
4, e, 44540
seria 5: 189, min: 0, max: 147588
5, s, 23220
5, e, 29000
5, s, 45644
5, e, 51352
5, s, 68616
5, e, 74336
5, s, 114244
5, e, 119944
5, s, 131640
5, e, 137352
seria 6: 168, min: 0, max: 130668
6, s, 9244
6, e, 14980
6, s, 54324
6, e, 59948
6, s, 74324
6, e, 80000
seria 7: 115, min: 0, max: 87728
7, s, 8980
7, e, 14500
7, s, 11996
7, e, 17504
7, s, 24996
7, e, 30584
7, s, 75960
7, e, 81616
seria 10: 146, min: 0, max: 89208
10, s, 40072
10, e, 44744
10, s, 56048
10, e, 60720
10, s, 61568
10, e, 66264
10, s, 64028
10, e, 68728
10, s, 69572
10, e, 74256
seria 12: 154, min: 0, max: 90184
12, s, 3400
12, e, 8168
12, s, 19800
12, e, 24568
12, s, 22320
12, e, 27084
12, s, 78420
12, e, 83244
seria 13: 264, min: 0, max: 148996
13, s, 4632
13, e, 9428
13, s, 104728
13, e, 109408
13, s, 125708
13, e, 130464
13, s, 130716
13, e, 135428
seria 14: 320, min: 0, max: 195312
14, s, 12080
14, e, 16824
14, s, 30112
14, e, 34808
14, s, 168688
14, e, 173304
14, s, 180212
14, e, 184896
seria 15: 220, min: 0, max: 127872
15, s, 9316
15, e, 13992
15, s, 19684
15, e, 24300
15, s, 26328
15, e, 31016
15, s, 65352
15, e, 70028
15, s, 118376
15, e, 123036
seria 16: 226, min: 0, max: 137192
16, s, 3884
16, e, 8552
16, s, 29828
16, e, 34488
16, s, 61888
16, e, 66620
16, s, 108228
16, e, 112952
seria 17: 271, min: 0, max: 165420
17, s, 22284
17, e, 27040
17, s, 39760
17, e, 44512
17, s, 57168
17, e, 61832
17, s, 149232
17, e, 153832
17, s, 152240
17, e, 156832
17, s, 155228
17, e, 159880
seria 19: 429, min: 0, max: 275284
19, s, 28124
19, e, 32876
19, s, 65048
19, e, 69932
19, s, 153208
19, e, 157876
19, s, 157488
19, e, 162196
19, s, 213180
19, e, 217996
seria 20: 957, min: 0, max: 701720
20, s, 369080
20, e, 374780
20, s, 458244
20, e, 463756
20, s, 581280
20, e, 586804
seria 21: 781, min: 0, max: 580428
21, s, 97808
21, e, 103536
21, s, 225164
21, e, 230276
21, s, 244104
21, e, 249388
seria 22: 940, min: 0, max: 677984
22, s, 329520
22, e, 334428
22, s, 422308
22, e, 427680
22, s, 433284
22, e, 438748
22, s, 445300
22, e, 450764
22, s, 467480
22, e, 472612
seria 23: 491, min: 0, max: 292404
23, s, 184272
23, e, 188804
23, s, 198308
23, e, 202736
23, s, 247324
23, e, 251792
seria 24: 384, min: 0, max: 235464
24, s, 36308
24, e, 40916
24, s, 53296
24, e, 57900
24, s, 59308
24, e, 63940
24, s, 79832
24, e, 84436
24, s, 144340
24, e, 148956
24, s, 147356
24, e, 151968
24, s, 150364
24, e, 154980
24, s, 185372
24, e, 189976
seria 25: 337, min: 0, max: 206964
25, s, 79376
25, e, 83968
25, s, 82364
25, e, 86992
25, s, 104396
25, e, 109008
25, s, 182372
25, e, 187048
seria 27: 309, min: 0, max: 187664
27, s, -380
27, e, 4288
27, s, 85484
27, e, 90244
27, s, 161964
27, e, 166696
27, s, 166940
27, e, 171672
27, s, 171292
27, e, 175988
27, s, 174988
27, e, 179652
27, s, 179268
27, e, 183960
seria 29: 109, min: 0, max: 68536
29, s, 1524
29, e, 6268
29, s, 7748
29, e, 12488
29, s, 31540
29, e, 36312
29, s, 43528
29, e, 48320
29, s, 47952
29, e, 52728
29, s, 55520
29, e, 60308
seria 30: 142, min: 0, max: 94556
30, s, 7328
30, e, 12164
30, s, 10528
30, e, 15368
30, s, 29660
30, e, 34488
30, s, 76352
30, e, 81228
30, s, 79584
30, e, 84384
seria 31: 95, min: 0, max: 60756
31, s, 9324
31, e, 14172
31, s, 24784
31, e, 29596
31, s, 34216
31, e, 39048
31, s, 44444
31, e, 49248
31, s, 48248
31, e, 53096
31, s, 52740
31, e, 57584
seria 32: 110, min: 0, max: 71068
32, s, 2828
32, e, 7680
32, s, 11776
32, e, 16688
32, s, 22808
32, e, 27676
32, s, 54852
32, e, 59648
seria 33: 127, min: 0, max: 81148
33, s, 9952
33, e, 14808
33, s, 29916
33, e, 34752
33, s, 57404
33, e, 62196
33, s, 61196
33, e, 65972
33, s, 66232
33, e, 71020
33, s, 69388
33, e, 74204
33, s, 73204
33, e, 77996
seria 34: 41, min: 0, max: 25824
34, s, 1528
34, e, 6400
34, s, 10000
34, e, 14900
34, s, 12604
34, e, 17504
34, s, 15204
34, e, 20072
seria 35: 69, min: 0, max: 45488
35, s, 3520
35, e, 8352
35, s, 7996
35, e, 12848
35, s, 16992
35, e, 21840
35, s, 21480
35, e, 26332
35, s, 25972
35, e, 30820
seria 36: 151, min: 0, max: 94632
36, s, 13340
36, e, 18076
36, s, 23896
36, e, 28636
36, s, 33868
36, e, 38664
36, s, 59676
36, e, 64552
36, s, 75244
36, e, 80184
36, s, 79844
36, e, 84784
36, s, 87080
36, e, 92012
seria 38: 69, min: 0, max: 43252
38, s, 18976
38, e, 23776
38, s, 21504
38, e, 26328
38, s, 29876
38, e, 34808
38, s, 34460
38, e, 39344
seria 39: 71, min: 0, max: 45288
39, s, 2316
39, e, 7216
39, s, 5572
39, e, 10432
39, s, 18600
39, e, 23416
39, s, 22416
39, e, 27296
39, s, 27592
39, e, 32468
39, s, 36628
39, e, 41448
seria 40: 65, min: 0, max: 41636
40, s, 3472
40, e, 8280
40, s, 7920
40, e, 12824
40, s, 15688
40, e, 20544
40, s, 18900
40, e, 23804
seria 41: 154, min: 0, max: 100052
41, s, 16128
41, e, 21104
41, s, 20756
41, e, 25628
41, s, 56784
41, e, 61628
41, s, 65784
41, e, 70652
41, s, 70292
41, e, 75140
41, s, 76764
41, e, 81672
seria 42: 93, min: 0, max: 60328
42, s, 14928
